dataset,sample_size,seed,iteration,split,method,accuracy,macro_f1,delta_vs_vanilla,delta_vs_random_aug,per_class_accuracy_delta,result_file
ag_news,4,0,,,error_driven,74.0657894736842,73.7862830897678,-5.15789473684211,-3.35526315789474,"{""0"": 5.947368421052616, ""1"": -5.631578947368411, ""2"": -14.578947368421055, ""3"": -6.368421052631582}",/tmp/cloud3_results_k5bbj9te/ag-news/4-shot/seed-0/error_driven.json
ag_news,4,0,,,random_aug,77.42105263157895,77.40340495836982,-1.80263157894737,0.0,"{""0"": -5.684210526315795, ""1"": -1.3157894736842053, ""2"": -24.157894736842103, ""3"": 23.947368421052623}",/tmp/cloud3_results_k5bbj9te/ag-news/4-shot/seed-0/random_aug.json
ag_news,4,0,,,vanilla,79.22368421052632,78.93705511154161,0.0,1.80263157894737,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0}",/tmp/cloud3_results_k5bbj9te/ag-news/4-shot/seed-0/vanilla.json
ag_news,4,1,,,error_driven,70.96052631578948,69.61936977978955,-6.368421052631575,-4.6842105263157805,"{""0"": 6.736842105263165, ""1"": -6.05263157894737, ""2"": -13.78947368421052, ""3"": -12.368421052631575}",/tmp/cloud3_results_k5bbj9te/ag-news/4-shot/seed-1/error_driven.json
ag_news,4,1,,,random_aug,75.64473684210526,74.57824643773121,-1.6842105263157947,0.0,"{""0"": -8.73684210526315, ""1"": 4.26315789473685, ""2"": -1.3157894736842053, ""3"": -0.9473684210526301}",/tmp/cloud3_results_k5bbj9te/ag-news/4-shot/seed-1/random_aug.json
ag_news,4,1,,,vanilla,77.32894736842105,76.61513461785184,0.0,1.6842105263157947,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0}",/tmp/cloud3_results_k5bbj9te/ag-news/4-shot/seed-1/vanilla.json
ag_news,4,2,,,error_driven,74.86842105263159,73.58046995069452,-1.3552631578947256,-0.5921052631578902,"{""0"": 11.263157894736835, ""1"": -4.10526315789474, ""2"": -6.05263157894737, ""3"": -6.526315789473685}",/tmp/cloud3_results_k5bbj9te/ag-news/4-shot/seed-2/error_driven.json
ag_news,4,2,,,random_aug,75.46052631578948,74.12788843862197,-0.7631578947368354,0.0,"{""0"": 11.15789473684211, ""1"": -3.2631578947368354, ""2"": -4.263157894736835, ""3"": -6.684210526315788}",/tmp/cloud3_results_k5bbj9te/ag-news/4-shot/seed-2/random_aug.json
ag_news,4,2,,,vanilla,76.22368421052632,75.66128739600856,0.0,0.7631578947368354,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0}",/tmp/cloud3_results_k5bbj9te/ag-news/4-shot/seed-2/vanilla.json
ag_news,4,3,,,error_driven,74.22368421052632,74.10800437518559,-5.30263157894737,-1.1184210526315894,"{""0"": 8.421052631578945, ""1"": -12.05263157894737, ""2"": -9.05263157894737, ""3"": -8.52631578947367}",/tmp/cloud3_results_k5bbj9te/ag-news/4-shot/seed-3/error_driven.json
ag_news,4,3,,,random_aug,75.3421052631579,74.78718844510357,-4.1842105263157805,0.0,"{""0"": -8.94736842105263, ""1"": 3.1052631578947256, ""2"": -5.526315789473692, ""3"": -5.368421052631575}",/tmp/cloud3_results_k5bbj9te/ag-news/4-shot/seed-3/random_aug.json
ag_news,4,3,,,vanilla,79.52631578947368,79.17074672184864,0.0,4.1842105263157805,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0}",/tmp/cloud3_results_k5bbj9te/ag-news/4-shot/seed-3/vanilla.json
ag_news,4,4,,,error_driven,75.23684210526315,74.60144415085597,-4.631578947368425,-2.0657894736842195,"{""0"": 6.2105263157894655, ""1"": -9.73684210526315, ""2"": -6.73684210526315, ""3"": -8.263157894736835}",/tmp/cloud3_results_k5bbj9te/ag-news/4-shot/seed-4/error_driven.json
ag_news,4,4,,,random_aug,77.30263157894737,76.3799688724871,-2.5657894736842053,0.0,"{""0"": -6.21052631578948, ""1"": 1.8421052631578902, ""2"": -1.7894736842105203, ""3"": -4.105263157894733}",/tmp/cloud3_results_k5bbj9te/ag-news/4-shot/seed-4/random_aug.json
ag_news,4,4,,,vanilla,79.86842105263158,79.33056172492249,0.0,2.5657894736842053,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0}",/tmp/cloud3_results_k5bbj9te/ag-news/4-shot/seed-4/vanilla.json
ag_news,8,0,,,error_driven,82.86842105263158,82.69624611141347,-1.9078947368421098,-0.02631578947368496,"{""0"": 0.3684210526315894, ""1"": -0.3684210526315752, ""2"": 1.8947368421052602, ""3"": -9.526315789473685}",/tmp/cloud3_results_k5bbj9te/ag-news/8-shot/seed-0/error_driven.json
ag_news,8,0,,,random_aug,82.89473684210526,82.9192930795945,-1.8815789473684248,0.0,"{""0"": 2.2105263157894655, ""1"": -4.05263157894737, ""2"": -11.94736842105263, ""3"": 6.263157894736835}",/tmp/cloud3_results_k5bbj9te/ag-news/8-shot/seed-0/random_aug.json
ag_news,8,0,,,vanilla,84.77631578947368,84.78258515353245,0.0,1.8815789473684248,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0}",/tmp/cloud3_results_k5bbj9te/ag-news/8-shot/seed-0/vanilla.json
ag_news,8,1,,,error_driven,81.06578947368422,80.51148015656791,-2.0263157894736707,0.42105263157895934,"{""0"": 2.105263157894754, ""1"": -0.42105263157895934, ""2"": -1.1578947368421098, ""3"": -8.631578947368425}",/tmp/cloud3_results_k5bbj9te/ag-news/8-shot/seed-1/error_driven.json
ag_news,8,1,,,random_aug,80.64473684210526,80.06262639670567,-2.44736842105263,0.0,"{""0"": 1.105263157894754, ""1"": -0.15789473684210975, ""2"": -0.15789473684210975, ""3"": -10.578947368421055}",/tmp/cloud3_results_k5bbj9te/ag-news/8-shot/seed-1/random_aug.json
ag_news,8,1,,,vanilla,83.09210526315789,82.84893023300803,0.0,2.44736842105263,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0}",/tmp/cloud3_results_k5bbj9te/ag-news/8-shot/seed-1/vanilla.json
ag_news,8,2,,,error_driven,82.96052631578948,82.78542708529278,-0.7631578947368354,2.0657894736842195,"{""0"": 0.8421052631578902, ""1"": 0.15789473684210975, ""2"": 3.2631578947368496, ""3"": -7.3157894736842195}",/tmp/cloud3_results_k5bbj9te/ag-news/8-shot/seed-2/error_driven.json
ag_news,8,2,,,random_aug,80.89473684210526,80.66169219029229,-2.828947368421055,0.0,"{""0"": 2.631578947368425, ""1"": -1.3157894736842053, ""2"": -4.684210526315795, ""3"": -7.947368421052644}",/tmp/cloud3_results_k5bbj9te/ag-news/8-shot/seed-2/random_aug.json
ag_news,8,2,,,vanilla,83.72368421052632,83.6438405887921,0.0,2.828947368421055,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0}",/tmp/cloud3_results_k5bbj9te/ag-news/8-shot/seed-2/vanilla.json
ag_news,8,3,,,error_driven,84.02631578947368,83.94276176916385,-0.3026315789473557,0.39473684210526017,"{""0"": 1.5789473684210407, ""1"": 0.0, ""2"": -0.15789473684209554, ""3"": -2.631578947368425}",/tmp/cloud3_results_k5bbj9te/ag-news/8-shot/seed-3/error_driven.json
ag_news,8,3,,,random_aug,83.63157894736842,83.60280510079428,-0.6973684210526159,0.0,"{""0"": -1.6842105263157805, ""1"": 0.21052631578946546, ""2"": 3.631578947368425, ""3"": -4.94736842105263}",/tmp/cloud3_results_k5bbj9te/ag-news/8-shot/seed-3/random_aug.json
ag_news,8,3,,,vanilla,84.32894736842104,84.27207908813361,0.0,0.6973684210526159,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0}",/tmp/cloud3_results_k5bbj9te/ag-news/8-shot/seed-3/vanilla.json
ag_news,8,4,,,error_driven,81.0921052631579,80.35709518849148,-1.644736842105246,0.6710526315789593,"{""0"": 2.0, ""1"": -0.3684210526315894, ""2"": 5.421052631578945, ""3"": -13.631578947368425}",/tmp/cloud3_results_k5bbj9te/ag-news/8-shot/seed-4/error_driven.json
ag_news,8,4,,,random_aug,80.42105263157895,79.666496414871,-2.3157894736842053,0.0,"{""0"": 1.7894736842105345, ""1"": -0.21052631578947967, ""2"": 2.7368421052631504, ""3"": -13.578947368421048}",/tmp/cloud3_results_k5bbj9te/ag-news/8-shot/seed-4/random_aug.json
ag_news,8,4,,,vanilla,82.73684210526315,82.4467591432102,0.0,2.3157894736842053,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0}",/tmp/cloud3_results_k5bbj9te/ag-news/8-shot/seed-4/vanilla.json
ag_news,16,0,,,error_driven,85.48684210526316,85.39620937148113,0.7763157894736992,2.473684210526315,"{""0"": 0.15789473684210975, ""1"": 1.0, ""2"": 0.05263157894736992, ""3"": 1.8947368421052602}",/tmp/cloud3_results_k5bbj9te/ag-news/16-shot/seed-0/error_driven.json
ag_news,16,0,,,random_aug,83.01315789473685,82.85976645521215,-1.6973684210526159,0.0,"{""0"": 0.3157894736842053, ""1"": -2.0, ""2"": 3.578947368421055, ""3"": -8.68421052631578}",/tmp/cloud3_results_k5bbj9te/ag-news/16-shot/seed-0/random_aug.json
ag_news,16,0,,,vanilla,84.71052631578947,84.62241230772433,0.0,1.6973684210526159,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0}",/tmp/cloud3_results_k5bbj9te/ag-news/16-shot/seed-0/vanilla.json
ag_news,16,1,,,error_driven,84.26315789473684,84.10658764626821,-0.3157894736842195,0.6710526315789451,"{""0"": -0.8947368421052602, ""1"": -0.21052631578946546, ""2"": 1.3157894736842053, ""3"": -1.473684210526315}",/tmp/cloud3_results_k5bbj9te/ag-news/16-shot/seed-1/error_driven.json
ag_news,16,1,,,random_aug,83.59210526315789,83.3433272927247,-0.9868421052631646,0.0,"{""0"": -0.10526315789472562, ""1"": 0.47368421052631504, ""2"": 1.0, ""3"": -5.315789473684205}",/tmp/cloud3_results_k5bbj9te/ag-news/16-shot/seed-1/random_aug.json
ag_news,16,1,,,vanilla,84.57894736842105,84.43991515903548,0.0,0.9868421052631646,"{""0"": 0.0, ""1"": 0.0, ""2"": 0.0, ""3"": 0.0}",/tmp/cloud3_results_k5bbj9te/ag-news/16-shot/seed-1/vanilla.json
