dataset,method,from_shot,to_shot,mean_accuracy_delta
ag_news,augmented,4,8,14.915789473684214
ag_news,augmented,8,16,7.773684210526312
ag_news,random_aug,4,8,14.713157894736845
ag_news,random_aug,8,16,11.123684210526307
ag_news,vanilla,4,8,5.647368421052633
ag_news,vanilla,8,16,1.8342105263157862
sst2,augmented,4,8,3.0203185063152134
sst2,augmented,8,16,2.2075782537067568
sst2,random_aug,4,8,2.9873695771554054
sst2,random_aug,8,16,1.8671059857221337
sst2,vanilla,4,8,5.667215815485996
sst2,vanilla,8,16,4.953322350356942
trec,augmented,4,8,7.439999999999998
trec,augmented,8,16,3.8400000000000034
trec,random_aug,4,8,14.32
trec,random_aug,8,16,12.719999999999999
trec,vanilla,4,8,12.000000000000007
trec,vanilla,8,16,7.200000000000003
